,No.,社名,担当者名,メール,事業内容,FactLinkウェブサイト,住所
j,306,ファー イースト アジア エンジニアリング,担当者,engineering-admin@fea.com.vn,産業用機械およびM&E装置の設計・製作・据付、防音パネル・発電機防音天蓋の製造,https://www.fact-link.com.vn/mem_profile.php?id=00000658&page=00000756&lang=jp,会社名
j,308,ヤマトプロテック 有限責任会社,担当者,y-ko@yamatoprotec.co.jp,ベトナムにおける消火器、工作機械用自動消火システムの総合防災メーカー,https://www.fact-link.com.vn/mem_profile.php?id=00000663&page=00000762&lang=jp,会社名
j,311,TSUCHIYA ベトナムコーポレーション,川田,kawada-yu@tsuchiya-corp.com,総合建設業（土木工事、建築工事、コンサルティング）,https://www.fact-link.com.vn/mem_profile.php?id=00000671&page=00000777&lang=jp,会社名
j,320,プロニクスベトナム,小松,komatsu@pronicslongan.com,精密プラスチック金型の設計・製作、成型から検査測定まで一貫生産,https://www.fact-link.com.vn/mem_profile.php?id=00000752&page=00000873&lang=jp,会社名
j,321,ファン・ビン精密機械加工 株式会社,担当者,ckphanvinh@yahoo.com,CNCによる精密機械部品加工、機械装置・治具の製作,https://www.fact-link.com.vn/mem_profile.php?id=00000763&page=00000881&lang=jp,会社名
j,348,有限会社ファン・シン（Phan Sinh）? SEP,担当者,ctyphansinh@yahoo.ca,日本の基準により金属表面処理及び鍍金加工,https://www.fact-link.com.vn/mem_profile.php?id=00000809&page=00001047&lang=jp,会社名
j,349,NAITO ベトナム,務台,m_mutai@naito.vn,機械工具、産業機器、工作機械、測定機器の専門商社,https://www.fact-link.com.vn/mem_profile.php?id=00000819&page=00000947&lang=jp,会社名
j,350,システムエグゼ　ベトナム,担当者,exevn_sales@system-exe.com.vn,中堅・中小企業様のはじめてのシステム導入は「エグゼクス」から,https://www.fact-link.com.vn/mem_profile.php?id=00000825&page=00000959&lang=jp,会社名
j,352,"Nhi Binh Plastic Co., Ltd",担当者,sales@nibiplastic.com,エンジニアリングプラスチックから汎用プラスチック製品まで、多種多様な成形品を生産します。,https://www.fact-link.com.vn/mem_profile.php?id=00000827&page=00000980&lang=jp,会社名
j,353,大晃ベトナム株式会社,担当者,info@daiko-vn.com,ベトナムで工場設備の自動化（FA）、省人化システムのことなら,https://www.fact-link.com.vn/mem_profile.php?id=00000832&page=00000979&lang=jp,会社名
j,354,山九ベトナム有限責任会社,担当者,contactvn@sankyuvn.com,物流・機工・メンテナンス,https://www.fact-link.com.vn/mem_profile.php?id=00000836&page=00000981&lang=jp,会社名
j,355,キーエンス ベトナム,担当者,info@keyence.com.vn,キーエンスは東南アジアでも直販！即納！日本人常駐！,https://www.fact-link.com.vn/mem_profile.php?id=00000846&page=00000991&lang=jp,会社名
j,356,コウエイ ベトナム,担当者,vn@koei-ltd.co.jp,プラスチックパレット、ウッドプラスチックデッキ（建築資材）、中古機械、リサイクル材料,https://www.fact-link.com.vn/mem_profile.php?id=00000847&page=00001072&lang=jp,会社名
j,357,株式会社 岩崎電機製作所ベトナム,本井,s-motoi@iwasakidenki.co.jp,日本と同等の高品質かつ低コストなハーネスをご提供いたします。,https://www.fact-link.com.vn/mem_profile.php?id=00000863&page=00001046&lang=jp,会社名
j,359,"Kirby South East Asia Co.,Ltd.",担当者,nhauyen.nguyen@kirby.vn,鋼の加工から建物の設計・建築までトータルに行う鉄骨建築物メーカー,https://www.fact-link.com.vn/mem_profile.php?id=00000877&page=00001070&lang=jp,会社名
j,360,武芸川精工ベトナム,吉川,yoshikawa@mugegawaseiko.co.jp,ステンレスやアルミ等の精密部品の加工・組立、切削加工、プラスチック成形なら確かなJAPANクオリティの武芸川ベトナムにお任せ下さい！,https://www.fact-link.com.vn/mem_profile.php?id=00000879&page=00001073&lang=jp,会社名
j,362,サンズ プレシジョン,長崎,n.ryota1221@gmail.com,大物製品から小物製品、溶接組立何でもOK！,https://www.fact-link.com.vn/mem_profile.php?id=00000898&page=00001096&lang=jp,会社名
j,363,オオトリ・エレクトロニクス・ベトナム,榎本,ta-enomoto@ohtori.com.vn,当社は、本社日本を始め、グループ内の香港、シンガポール、タイ、上海、台湾、マレーシアから電子部品を集めベトナム国内のユーザー様に幅広いサービスを提供しております。,https://www.fact-link.com.vn/mem_profile.php?id=00000899&page=00001097&lang=jp,会社名
j,364,Viet Nhuan有限会社,担当者,viethoangoanh@yahoo.com.vn,すべての材料上でご注文への印刷の分野で操作する。,https://www.fact-link.com.vn/mem_profile.php?id=00000900&page=00001108&lang=jp,会社名
j,365,Dan Dat 有限会社,担当者,sales@dandatflex.vn,すべての種類のコネクタ及びステンレス鋼フレキシブルな金属ホース販売、製造,https://www.fact-link.com.vn/mem_profile.php?id=00000901&page=00001126&lang=jp,会社名
j,367,久門ベトナム株式会社,担当者,sales@hisakadovn.com,バルブ､継手、パイプ､配管機器、資材等の販売,https://www.fact-link.com.vn/mem_profile.php?id=00000926&page=00001180&lang=jp,会社名
j,368,IDEAテクノロジー コーポレーション株式会社（ローカル企業）,担当者,anh.nt@ideagroupvn.com,機械設計製図受託請負、精密機械加工、自動化装置（FA）・生産設備製作受託,https://www.fact-link.com.vn/mem_profile.php?id=00000927&page=00001178&lang=jp,会社名
j,369,IBCオフィス,担当者,support@ibcoffice.com.vn,バーチャルオフィス、レンタルオフィス,https://www.fact-link.com.vn/mem_profile.php?id=00000931&page=00002105&lang=jp,会社名
j,371,"TOWA Industrial (VIETNAM) Co.,Ltd.",担当者,vntowa@hcm.fpt.vn,精密部品・自動車部品、油圧部部品,https://www.fact-link.com.vn/mem_profile.php?id=00000934&page=00001191&lang=jp,会社名
j,372,NACHI-FUJIKOSHI CORP. (ナチ不二越),高崎,takasaki@nachi.com.sg,マシニング、ロボット、機能部品、材料の輸入販売,https://www.fact-link.com.vn/mem_profile.php?id=00000940&page=00001195&lang=jp,会社名
j,375,シブサワ　ロジスティクス　（ベトナム）有限会社,大浦,oura-kazuki@shibusawa.com.vn,輸出入フォワーディング業務、通関業務、ベトナム国内の物流業務,https://www.fact-link.com.vn/mem_profile.php?id=00000954&page=00001230&lang=jp,会社名
j,379,国際ランドベトナム,担当者,info@kl-vn.com,コンストラクションマネジメント、プロパティマネジメント、海外進出支援コンサルティング,https://www.fact-link.com.vn/mem_profile.php?id=00000963&page=00001239&lang=jp,会社名
j,380,株式会社  イシセイ  ベトナム,担当者,mkt.sgur01@ishisei.co.jp,超精密微細加工、超精密複雑形状加工、超精密機械部品加工。　治具・治工具設計製作もお任せください。,https://www.fact-link.com.vn/mem_profile.php?id=00000968&page=00001245&lang=jp,会社名
j,381,アサダベトナム株式会社,担当者,phuc@asadavietnam.vn,配管機械・工具に関わるアサダのトップ製品,https://www.fact-link.com.vn/mem_profile.php?id=00000971&page=00001255&lang=jp,会社名
